"","rowname","Estimate.x","Std. Error.x","t value.x","model.x","Estimate.y","Std. Error.y","t value.y","model.y","Estimate","Std. Error","t value","model"
"1","(Intercept)",3.34601997270689,0.0437625924786006,76.4584496300822,"poor.fair.state.year",0.808407010496601,0.765173528936394,1.05650153844227,"poor.fair.arrest.demo",-0.031329617760719,0.7184838860947,-0.0436051780242564,"poor.fair.structural"
"2","young_adult_rate",-0.00102307512955916,0.000336723213945184,-3.03832669441586,"poor.fair.state.year",-0.000793506002698389,0.000322763511236592,-2.45847493621029,"poor.fair.arrest.demo",-0.00094171953243776,0.000317814096192777,-2.96311442355451,"poor.fair.structural"
"3","lag.ya.rate",-0.000128999752758725,0.000339459533478019,-0.380015112367076,"poor.fair.state.year",0.0000360138728994268,0.000324125506304205,0.111110888217561,"poor.fair.arrest.demo",0.000327146216887224,0.000317736858705169,1.02961368164965,"poor.fair.structural"
"4","`% 65 and older raw value`",NA,NA,NA,NA,5.04589824893822,0.982887152280013,5.13375135409309,"poor.fair.arrest.demo",0.649779861611029,0.945066259427726,0.687549529071639,"poor.fair.structural"
"5","`% American Indian and Alaskan Native raw value`",NA,NA,NA,NA,2.230002634991,1.69145401691287,1.31839388638011,"poor.fair.arrest.demo",0.0741385684487245,1.44194382253974,0.0514157121032233,"poor.fair.structural"
"6","`% below 18 years of age raw value`",NA,NA,NA,NA,2.75507987754314,1.17167864301602,2.35139549053424,"poor.fair.arrest.demo",0.0499779163632565,1.04587362116188,0.0477858082965466,"poor.fair.structural"
"7","`% Females raw value`",NA,NA,NA,NA,1.4600378861301,1.60092055265158,0.911998964415731,"poor.fair.arrest.demo",4.50875450447297,1.42297841162581,3.16853331549951,"poor.fair.structural"
"8","`% Native Hawaiian/Other Pacific Islander raw value`",NA,NA,NA,NA,47.7801568940983,15.7136981622629,3.04066912834334,"poor.fair.arrest.demo",41.0230997067617,14.6558491899633,2.79909401188812,"poor.fair.structural"
"9","`% Non-Hispanic African American raw value`",NA,NA,NA,NA,5.50429194230944,1.26659002575736,4.34575658293071,"poor.fair.arrest.demo",0.608979999837312,1.13487598815873,0.536604885636312,"poor.fair.structural"
"10","`% Hispanic raw value`",NA,NA,NA,NA,2.09114876268364,0.378754071890707,5.5211254950866,"poor.fair.arrest.demo",0.210530117886943,0.368140851463543,0.571873827775376,"poor.fair.structural"
"11","`% Asian raw value`",NA,NA,NA,NA,7.72028092054566,3.17916070040991,2.42840222564095,"poor.fair.arrest.demo",5.55027318259869,2.81642638293219,1.97067930347261,"poor.fair.structural"
"12","`% not proficient in English raw value`",NA,NA,NA,NA,-7.73299564274995,1.17714754117255,-6.56926627485211,"poor.fair.arrest.demo",-6.16907334362264,1.1983095286148,-5.14814678203706,"poor.fair.structural"
"13","`% Rural raw value`",NA,NA,NA,NA,-0.00574775073619541,0.136888633276669,-0.0419885172246441,"poor.fair.arrest.demo",-0.0646321042716726,0.120598648711237,-0.535927267530407,"poor.fair.structural"
"14","`Unemployment raw value`",NA,NA,NA,NA,NA,NA,NA,NA,-4.54317292922986,1.04270097464567,-4.35711967256359,"poor.fair.structural"
"15","`Some college raw value`",NA,NA,NA,NA,NA,NA,NA,NA,-2.24019021245847,0.291002041182159,-7.69819415478319,"poor.fair.structural"
"16","`Median household income raw value`",NA,NA,NA,NA,NA,NA,NA,NA,0.0000253173861142465,0.00000394133634399075,6.4235538164225,"poor.fair.structural"
"17","`Children in poverty raw value`",NA,NA,NA,NA,NA,NA,NA,NA,4.94015160724249,0.647429264470822,7.63041134892216,"poor.fair.structural"
"18","`Children in single-parent households raw value`",NA,NA,NA,NA,NA,NA,NA,NA,2.04404235741269,0.351923161223574,5.8082064002435,"poor.fair.structural"
