rowname,rate2000,rate2010,rate2019
rate2000,1,0.6224448716600316,0.42746381705213193
n_young_adults2000,-0.0010576897233115824,0.002045950495960062,-0.04217839932735039
rate2010,0.6224448716600316,1,0.6107182060132604
n_young_adults2010,0.0019196789978232229,0.00574665887783409,-0.041873206150958776
rate2019,0.42746381705213193,0.6107182060132604,1
n_young_adults2019,-0.004493246761705705,0.005830195882662832,-0.04528836028929862
premature_death_raw_value,0.038300839904612104,0.05429653382606414,0.11223886012311754
poor_or_fair_health_raw_value,0.010536217231502887,0.013577053350465959,0.015698055627018353
poor_physical_health_days_raw_value,-0.05939039811520199,-0.015195056877232875,-0.012634391392231546
poor_mental_health_days_raw_value,-0.07955034496215274,-0.03704114583113499,-0.05806411441291001
low_birthweight_raw_value,0.09429901382544158,0.09347290424007894,0.07727512886722905
adult_smoking_raw_value,-0.1487729194962173,-0.07647056585208187,-0.004752080044639926
adult_obesity_raw_value,-0.08311055431805255,-0.061054543310387954,-0.026666422217927428
food_environment_index_raw_value,-0.04613331490455392,-0.06701218850973548,-0.019248298863605795
physical_inactivity_raw_value,-0.039024410051696636,-0.019677572925396992,0.013664449726966944
access_to_exercise_opportunities_raw_value,0.12200281119830819,0.15178133563004292,0.08606680883540122
excessive_drinking_raw_value,0.004641835911401995,-0.007341105158455373,0.030189824284920556
alcohol_impaired_driving_deaths_raw_value,-0.019923820230801064,-0.05644049597637845,-0.020899103743071006
sexually_transmitted_infections_raw_value,0.12266117995232119,0.14353620616378368,0.16452799269011262
teen_births_raw_value,0.14416129552539048,0.14269117571293638,0.1681970367397848
uninsured_raw_value,0.18770494823851952,0.14230335793912038,0.11320410415546646
primary_care_physicians_raw_value,0.07980800996298391,0.13016530926163294,0.048616166342420955
ratio_of_population_to_primary_care_physicians,-0.10610828778577538,-0.13217396484012225,-0.07589954354134974
dentists_raw_value,0.09601379514857179,0.1478277182484144,0.10150916667808277
ratio_of_population_to_dentists,-0.07492257322754324,-0.11148347956328669,-0.06612233897252837
preventable_hospital_stays_raw_value,0.02169100998243608,0.05125846677882102,0.05293097145834178
mammography_screening_raw_value,-0.06715135740592715,-0.026269948774319336,-0.006326496434495184
flu_vaccinations_raw_value,-0.02954538266345712,0.007441591725395464,-0.009476938939692202
high_school_graduation_raw_value,-0.15902716816697077,-0.10952368236060789,-0.11189427844983797
some_college_raw_value,-0.04168234434301118,0.022058214783561087,-0.025450377167656624
unemployment_raw_value,0.07526030602611014,0.03266064451383872,0.013200715357934488
children_in_poverty_raw_value,0.07585483788248704,0.05508927372561088,0.06186537059519608
