skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
character,fips_clean,0,1,NA,NA,NA,NA,NA,NA,NA,NA
character,state_abbreviation,0,1,NA,NA,NA,NA,NA,NA,NA,NA
character,name,0,1,NA,NA,NA,NA,NA,NA,NA,NA
character,fips_clean_y,0,1,NA,NA,NA,NA,NA,NA,NA,NA
numeric,rate2000,260,0.895245769540693,162.79030810996875,95.3421047161311,0.01609120494965464,96.43324761126885,151.99965544770194,216.02350016916924,479.26202321724844,▅▇▅▁▁
numeric,n_young_adults2000,260,0.895245769540693,8445.650765076507,22848.67473976986,200,1048.5,2453,6216.25,532487,▇▁▁▁▁
numeric,rate2010,57,0.9770346494762289,150.81161769637768,84.6847333999421,0.061040278954074816,92.60349684920772,140.94630621081723,196.630335388071,479.26202321724844,▅▇▃▁▁
numeric,n_young_adults2010,57,0.9770346494762289,8817.998350515463,23331.11565236767,200,1030,2437,6538,512995,▇▁▁▁▁
numeric,rate2019,60,0.975825946817083,106.51416943183533,71.89720217714843,0.2667733760170735,57.26413342222761,92.45488646582453,138.412128218075,479.26202321724844,▇▆▁▁▁
numeric,n_young_adults2019,60,0.975825946817083,8785.448389760528,22985.899172849575,200,979,2287,6478.75,447302,▇▁▁▁▁
numeric,premature_death_raw_value,0,1,8424.310568244118,2546.5696608345547,2610.6904331,6609.83277735,8119.9451838,9923.916708375,26337.36603,▅▇▁▁▁
numeric,poor_or_fair_health_raw_value,0,1,0.17456993215910557,0.04574245584921056,0.0891992944,0.140082695175,0.16825740145,0.20262182125,0.4073235516,▆▇▂▁▁
numeric,poor_physical_health_days_raw_value,0,1,3.9133383390288072,0.6991309220618701,2.3235109416,3.39894195285,3.86509420895,4.37994626245,6.4297779383,▃▇▆▂▁
numeric,poor_mental_health_days_raw_value,0,1,3.9406023218597097,0.5936023622418788,2.4677235931,3.5252514443000003,3.9685818074499997,4.3385877061,5.9641561528,▂▆▇▂▁
numeric,low_birthweight_raw_value,11,0.9955680902497985,0.08056113028506677,0.019774488994463223,0.0264550265,0.0668929929,0.0774925488,0.0905230962,0.1875,▁▇▂▁▁
numeric,adult_smoking_raw_value,0,1,0.18066492723186947,0.03531445553219966,0.0673543283,0.15458897302500002,0.17635281895,0.20432164985,0.3907970276,▁▇▃▁▁
numeric,adult_obesity_raw_value,0,1,0.3247514101531023,0.04102575168741357,0.136,0.299,0.326,0.351,0.495,▁▂▇▃▁
